CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00100,"JPMORGAN CHASE BANK, NATIONAL",1696200,-16000,0.03,-0.0,2016-03-29
C00093,BNP PARIBAS SECURITIES SERVICES,404000,4000,0.01,0.0,2016-03-29
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,46072134,-36000,0.81,-0.0,2016-03-29
C00028,NANYANG COMMERCIAL BANK LTD,25875062,-700000,0.46,-0.01,2016-03-29
B01938,CHINA INDUSTRIAL SECURITIES,205802531,304000,3.62,0.01,2016-03-29
B01497,SINOPAC SECURITIES (ASIA) LTD,108315358,472000,1.91,0.01,2016-03-29
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,70000,16000,0.0,0.0,2016-03-29
B01224,MERRILL LYNCH FAR EAST LTD,148000,4000,0.0,0.0,2016-03-29
B01130,BOCI SECURITIES LTD,19228744,-48000,0.34,-0.0,2016-03-29
,Total changed named holdings,407612029,0,7.17,0.0,
,Unchanged named holdings,1519656818,0,26.74,0.0,
,Total named holdings,1927268847,0,33.91,0.0,
,Unnamed Investor Participants,1156655,0,0.02,0.0,
,Total securities in CCASS,1928425502,0,33.93,0.0,
,Securities not in CCASS,3755209746,0,66.07,0.0,
,Issued securities,5683635248,0,100.0,0.0,29-Feb-2016
