atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2021-09-03,2021-09-07,0,0.42,0.4,0.42,0.42,0.425,24000,10140,0.4225,0.42,0.4,0.42,0.42,0.425,24000,0.4225,0.02439
2021-09-02,2021-09-06,0,0.41,0.4,0.42,0.41,0.42,136000,56520,0.41558824,0.41,0.4,0.42,0.41,0.42,136000,0.41559,0
2021-09-01,2021-09-03,0,0.41,0.39,0.42,0,0,0,0,0,0.41,0.39,0.42,0,0,0,0,0
2021-08-31,2021-09-02,0,0.41,0.395,0.42,0.4,0.42,512000,212880,0.41578125,0.41,0.395,0.42,0.4,0.42,512000,0.41578,0.06494
2021-08-30,2021-09-01,0,0.385,0.385,0.4,0.345,0.42,660000,263640,0.39945455,0.385,0.385,0.4,0.345,0.42,660000,0.39945,-0.10465
2021-08-27,2021-08-31,0,0.43,0.425,0.43,0.425,0.43,688000,293820,0.42706395,0.43,0.425,0.43,0.425,0.43,688000,0.42706,0.01176
2021-08-26,2021-08-30,0,0.425,0.42,0.425,0.42,0.425,228000,96300,0.42236842,0.425,0.42,0.425,0.42,0.425,228000,0.42237,0
2021-08-25,2021-08-27,0,0.425,0.42,0.425,0.425,0.425,500000,212500,0.425,0.425,0.42,0.425,0.425,0.425,500000,0.425,0
2021-08-24,2021-08-26,0,0.425,0.42,0.425,0.415,0.425,1536800,647014,0.42101379,0.425,0.42,0.425,0.415,0.425,1536800,0.42101,0.0119
2021-08-23,2021-08-25,0,0.42,0.415,0.425,0.415,0.42,4016000,1681720,0.41875498,0.42,0.415,0.425,0.415,0.42,4016000,0.41875,0.01205
2021-08-20,2021-08-24,0,0.415,0.415,0.42,0.415,0.425,916000,384000,0.41921397,0.415,0.415,0.42,0.415,0.425,916000,0.41921,-0.0119
2021-08-19,2021-08-23,0,0.42,0.42,0.43,0.415,0.43,612000,254140,0.41526144,0.42,0.42,0.43,0.415,0.43,612000,0.41526,0.01205
2021-08-18,2021-08-20,0,0.415,0.415,0.42,0.41,0.415,420000,174180,0.41471429,0.415,0.415,0.42,0.41,0.415,420000,0.41471,0
2021-08-17,2021-08-19,0,0.415,0.415,0.42,0.415,0.43,799000,336380,0.42100125,0.415,0.415,0.42,0.415,0.43,799000,0.421,0.02469
2021-08-16,2021-08-18,0,0.405,0.405,0.41,0.405,0.405,172000,69660,0.405,0.405,0.405,0.41,0.405,0.405,172000,0.405,0
2021-08-13,2021-08-17,0,0.405,0.405,0.41,0.405,0.42,76000,31080,0.40894737,0.405,0.405,0.41,0.405,0.42,76000,0.40895,-0.04706
2021-08-12,2021-08-16,0,0.425,0.42,0.43,0.4,0.425,524000,215300,0.41087786,0.425,0.42,0.43,0.4,0.425,524000,0.41088,0.04938
2021-08-11,2021-08-13,0,0.405,0.39,0.41,0.395,0.415,176000,71160,0.40431818,0.405,0.39,0.41,0.395,0.415,176000,0.40432,0.03846
2021-08-10,2021-08-12,0,0.39,0.385,0.4,0.39,0.4,500000,196880,0.39376,0.39,0.385,0.4,0.39,0.4,500000,0.39376,-0.025
2021-08-09,2021-08-11,0,0.4,0.395,0.4,0.4,0.42,788000,325760,0.41340102,0.4,0.395,0.4,0.4,0.42,788000,0.4134,-0.03614
2021-08-06,2021-08-10,0,0.415,0.415,0.43,0.415,0.43,536000,224100,0.41809701,0.415,0.415,0.43,0.415,0.43,536000,0.4181,-0.03488
2021-08-05,2021-08-09,0,0.43,0.43,0.435,0.43,0.44,1200000,519900,0.43325,0.43,0.43,0.435,0.43,0.44,1200000,0.43325,-0.01149
2021-08-04,2021-08-06,0,0.435,0.425,0.435,0.415,0.44,916000,395960,0.43227074,0.435,0.425,0.435,0.415,0.44,916000,0.43227,0.02353
2021-08-03,2021-08-05,0,0.425,0.41,0.425,0.395,0.435,2524000,1032640,0.40912837,0.425,0.41,0.425,0.395,0.435,2524000,0.40913,0.0241
2021-08-02,2021-08-04,0,0.415,0.405,0.415,0.375,0.45,19456000,7893280,0.40569901,0.415,0.405,0.415,0.375,0.45,19456000,0.4057,0.12162
2021-07-30,2021-08-03,0,0.37,0.355,0.365,0.36,0.37,1052000,382000,0.36311787,0.37,0.355,0.365,0.36,0.37,1052000,0.36312,0.0137
2021-07-29,2021-08-02,0,0.365,0.355,0.37,0.365,0.37,9100000,3322800,0.36514286,0.365,0.355,0.37,0.365,0.37,9100000,0.36514,0.04286
2021-07-28,2021-07-30,0,0.35,0.35,0.37,0.35,0.35,17856000,6249600,0.35,0.35,0.35,0.37,0.35,0.35,17856000,0.35,-0.05405
2021-07-27,2021-07-29,0,0.37,0.345,0.37,0.335,0.37,1372000,470460,0.34290087,0.37,0.345,0.37,0.335,0.37,1372000,0.3429,0.07246
2021-07-26,2021-07-28,0,0.345,0.34,0.35,0.345,0.355,292000,102300,0.35034247,0.345,0.34,0.35,0.345,0.355,292000,0.35034,0
2021-07-23,2021-07-27,0,0.345,0.345,0.355,0.345,0.35,2068000,723660,0.3499323,0.345,0.345,0.355,0.345,0.35,2068000,0.34993,-0.01429
2021-07-22,2021-07-26,0,0.35,0.345,0.35,0.35,0.365,620000,221760,0.35767742,0.35,0.345,0.35,0.35,0.365,620000,0.35768,-0.05405
2021-07-21,2021-07-23,0,0.37,0.355,0.37,0.34,0.37,2804000,1009860,0.36014979,0.37,0.355,0.37,0.34,0.37,2804000,0.36015,0.05714
2021-07-20,2021-07-22,0,0.35,0.34,0.35,0.34,0.355,776000,271940,0.35043814,0.35,0.34,0.35,0.34,0.355,776000,0.35044,0.01449
2021-07-19,2021-07-21,0,0.345,0.345,0.355,0.345,0.36,788000,277260,0.35185279,0.345,0.345,0.355,0.345,0.36,788000,0.35185,-0.02817
2021-07-16,2021-07-20,0,0.355,0.355,0.365,0.34,0.355,1428000,504380,0.35320728,0.355,0.355,0.365,0.34,0.355,1428000,0.35321,0.02899
2021-07-15,2021-07-19,0,0.345,0.34,0.345,0.345,0.355,1172000,411380,0.35100683,0.345,0.34,0.345,0.345,0.355,1172000,0.35101,-0.01429
2021-07-14,2021-07-16,0,0.35,0.345,0.355,0.345,0.355,996000,349460,0.35086345,0.35,0.345,0.355,0.345,0.355,996000,0.35086,0.01449
2021-07-13,2021-07-15,0,0.345,0.345,0.35,0.34,0.35,892000,310800,0.34843049,0.345,0.345,0.35,0.34,0.35,892000,0.34843,-0.01429
2021-07-12,2021-07-14,0,0.35,0.35,0.355,0.35,0.36,150000,53060,0.35373333,0.35,0.35,0.355,0.35,0.36,150000,0.35373,-0.02778
